County,N1,N2,N3,N4,N5,N6,N7,N8,N9
Guadalupe,Bexar,Caldwell,Comal,Gonzales,Hays,Wilson,,,
Hale,Castro,Crosby,Floyd,Hockley,Lamb,Lubbock,Swisher,,
Hall,Briscoe,Childress,Collingsworth,Cottle,Donley,Motley,,,
Hamilton,Bosque,Comanche,Coryell,Erath,Lampasas,Mills,,,
Hansford,Texas,Hutchinson,Moore,Ochiltree,Roberts,Sherman,,,
Hardeman,Harmon,Jackson,Childress,Cottle,Foard,Wilbarger,,,
Hardin,Jasper,Jefferson,Liberty,Orange,Polk,Tyler,,,
Harris,Brazoria,Chambers,Fort Bend,Galveston,Liberty,Montgomery,Waller,,
Harrison,CaddoParish,Gregg,Marion,Panola,Rusk,Upshur,,,
Hartley,Quay,Union,Dallam,Moore,Oldham,Sherman,,,
Haskell,Baylor,Jones,King,Knox,Shackelford,Stonewall,Throckmorton,,
Hays,Blanco,Caldwell,Comal,Guadalupe,Travis,,,,
Henderson,Anderson,Cherokee,Ellis,Freestone,Kaufman,Navarro,Smith,VanZandt,
Hidalgo,Brooks,Cameron,Kenedy,Starr,Willacy,,,,
Hill,Bosque,Ellis,Johnson,Limestone,McLennan,Navarro,,,
Hockley,Bailey,Cochran,Hale,Lamb,Lubbock,Lynn,Terry,Yoakum,
Hood,Erath,Johnson,Palo Pinto,Parker,Somervell,,,,
Hopkins,Delta,Franklin,Hunt,Rains,Wood,,,,
Houston,Anderson,Angelina,Cherokee,Leon,Madison,Trinity,Walker,,
Howard,Borden,Dawson,Glasscock,Martin,Mitchell,Sterling,,,
Hunt,Collin,Delta,Fannin,Hopkins,Kaufman,Rains,Rockwall,VanZandt,
Hutchinson,Carson,Hansford,Moore,Roberts,Sherman,,,,
Jack,Archer,Clay,Montague,Palo Pinto,Parker,Wise,Young,,
Jackson,Calhoun,Colorado,Lavaca,Matagorda,Victoria,Wharton,,,
Jasper,Angelina,Hardin,Newton,Orange,Sabine,San Augustine,Tyler,,
Jefferson,CameronParish,Chambers,Hardin,Liberty,Orange,,,,
Jim Hogg,Brooks,Duval,Starr,Webb,Zapata,,,,
Jim Wells,Brooks,Duval,Kleberg,Live Oak,Nueces,San Patricio,,,
Johnson,Bosque,Ellis,Hill,Hood,Parker,Somervell,Tarrant,,
Jones,Callahan,Fisher,Haskell,Nolan,Shackelford,Stonewall,Taylor,,
Karnes,Atascosa,Bee,DeWitt,Goliad,Gonzales,Live Oak,Wilson,,
Kaufman,Dallas,Ellis,Henderson,Hunt,Rockwall,VanZandt,,,
Kendall,Bandera,Bexar,Blanco,Comal,Gillespie,Kerr,,,
Kerr,Bandera,Edwards,Gillespie,Kendall,Kimble,Real,,,
Kimble,Edwards,Gillespie,Kerr,Mason,Menard,Schleicher,Sutton,,
Kinney,Edwards,Maverick,Uvalde,ValVerde,Zavala,,,,
Kleberg,Brooks,Jim Wells,Kenedy,Nueces,,,,,
Knox,Baylor,Foard,Haskell,King,Stonewall,Throckmorton,,,
Lamar,Bryan,Choctaw,Delta,Fannin,Red River,,,,
Lamb,Bailey,Castro,Cochran,Hale,Hockley,Lubbock,Parmer,,
Lampasas,Bell,Burnet,Coryell,Hamilton,Mills,San Saba,,,
La Salle,Atascosa,Dimmit,Duval,Frio,McMullen,Webb,,,
Lavaca,Colorado,DeWitt,Fayette,Gonzales,Jackson,Victoria,,,
Lee,Bastrop,Burleson,Fayette,Milam,Washington,Williamson,,,
Leon,Anderson,Brazos,Freestone,Houston,Limestone,Madison,Robertson,,
Liberty,Chambers,Hardin,Harris,Jefferson,Montgomery,Polk,San Jacinto,,
Limestone,Falls,Freestone,Hill,Leon,McLennan,Navarro,Robertson,,
Live Oak,Atascosa,Bee,Duval,Jim Wells,Karnes,McMullen,San Patricio,,
Llano,Blanco,Burnet,Gillespie,Mason,San Saba,,,,
Lubbock,Crosby,Floyd,Garza,Hale,Hockley,Lamb,Lynn,Terry,
Lynn,Borden,Crosby,Dawson,Garza,Hockley,Lubbock,Terry,,
McCulloch,Brown,Coleman,Concho,Mason,Menard,San Saba,,,
McLennan,Bell,Bosque,Coryell,Falls,Hill,Limestone,,,
Madison,Brazos,Grimes,Houston,Leon,Robertson,Walker,,,
Marion,CaddoParish,Cass,Harrison,Morris,Upshur,,,,
Martin,Andrews,Borden,Dawson,Gaines,Glasscock,Howard,Midland,,
Mason,Gillespie,Kimble,Llano,McCulloch,Menard,San Saba,,,
Matagorda,Brazoria,Calhoun,Jackson,Wharton,,,,,
Maverick,Dimmit,Kinney,Uvalde,Webb,Zavala,,,,
Medina,Atascosa,Bandera,Bexar,Frio,Uvalde,Zavala,,,
Menard,Concho,Kimble,McCulloch,Mason,Schleicher,Sutton,Tom Green,,
Midland,Andrews,Ector,Glasscock,Martin,Reagan,Upton,,,
Milam,Bell,Burleson,Falls,Lee,Robertson,Williamson,,,
Mills,Brown,Comanche,Hamilton,Lampasas,San Saba,,,,
Mitchell,Borden,Coke,Fisher,Howard,Nolan,Scurry,Sterling,,
Montague,Jefferson,Love,Clay,Cooke,Jack,Wise,,,
Montgomery,Grimes,Harris,Liberty,San Jacinto,Walker,Waller,,,
Moore,Carson,Dallam,Hansford,Hartley,Hutchinson,Oldham,Potter,Sherman,
Morris,Bowie,Camp,Cass,Marion,Red River,Titus,Upshur,,
Nacogdoches,Angelina,Cherokee,Rusk,San Augustine,Shelby,,,,
Navarro,Ellis,Freestone,Henderson,Hill,Limestone,,,,
Newton,BeauregardParish,CalcasieuParish,SabineParish,VernonParish,Jasper,Orange,Sabine,,
Nolan,Coke,Fisher,Jones,Mitchell,Runnels,Scurry,Taylor,,
Nueces,Aransas,Jim Wells,Kleberg,San Patricio,,,,,
Ochiltree,Beaver,Texas,Hansford,Lipscomb,Roberts,,,,
Orange,CalcasieuParish,CameronParish,Hardin,Jasper,Jefferson,Newton,,,
Palo Pinto,Eastland,Erath,Hood,Jack,Parker,Stephens,Young,,
Panola,CaddoParish,DeSotoParish,Harrison,Rusk,Shelby,,,,
Parker,Hood,Jack,Johnson,Palo Pinto,Tarrant,Wise,,,
Parmer,Curry,Bailey,Castro,Deaf Smith,Lamb,,,,
Pecos,Brewster,Crane,Crockett,Jeff Davis,Reeves,Terrell,Ward,,
Polk,Angelina,Hardin,Liberty,San Jacinto,Trinity,Tyler,,,
Potter,Armstrong,Carson,Deaf Smith,Moore,Oldham,Randall,,,
Presidio,Brewster,Hudspeth,Jeff Davis,,,,,,
Rains,Hopkins,Hunt,VanZandt,Wood,,,,,
Randall,Armstrong,Carson,Castro,Deaf Smith,Oldham,Potter,Swisher,,
Reagan,Crockett,Glasscock,Irion,Midland,Sterling,Tom Green,Upton,,
Real,Bandera,Edwards,Kerr,Uvalde,,,,,
Red River,Choctaw,McCurtain,Bowie,Delta,Franklin,Lamar,Morris,Titus,
Reeves,Eddy,Culberson,Jeff Davis,Loving,Pecos,Ward,,,
Refugio,Aransas,Bee,Calhoun,Goliad,San Patricio,Victoria,,,
Robertson,Brazos,Burleson,Falls,Leon,Limestone,Madison,Milam,,
Rockwall,Collin,Dallas,Hunt,Kaufman,,,,,
Runnels,Coke,Coleman,Concho,Nolan,Taylor,Tom Green,,,
Rusk,Cherokee,Gregg,Harrison,Nacogdoches,Panola,Shelby,Smith,,
Sabine,SabineParish,Jasper,Newton,San Augustine,Shelby,,,,
San Augustine,Angelina,Jasper,Nacogdoches,Sabine,Shelby,,,,
San Jacinto,Liberty,Montgomery,Polk,Trinity,Walker,,,,
San Patricio,Aransas,Bee,Jim Wells,Live Oak,Nueces,Refugio,,,
San Saba,Brown,Burnet,Lampasas,Llano,McCulloch,Mason,Mills,,
Schleicher,Concho,Crockett,Irion,Kimble,Menard,Sutton,Tom Green,,
Scurry,Borden,Fisher,Garza,Kent,Mitchell,Nolan,,,
Shelby,DeSotoParish,SabineParish,Nacogdoches,Panola,Rusk,Sabine,San Augustine,,
Smith,Cherokee,Gregg,Henderson,Rusk,Upshur,VanZandt,Wood,,
Somervell,Bosque,Erath,Hood,Johnson,,,,,
Starr,Brooks,Hidalgo,Jim Hogg,Zapata,,,,,
Stephens,Eastland,Palo Pinto,Shackelford,Throckmorton,Young,,,,
Sutton,Crockett,Edwards,Kimble,Menard,Schleicher,ValVerde,,,
Swisher,Armstrong,Briscoe,Castro,Floyd,Hale,Randall,,,
Tarrant,Dallas,Denton,Ellis,Johnson,Parker,Wise,,,
Taylor,Callahan,Coleman,Fisher,Jones,Nolan,Runnels,,,
Terry,Cochran,Dawson,Gaines,Hockley,Lubbock,Lynn,Yoakum,,
Titus,Camp,Franklin,Morris,Red River,,,,,
Tom Green,Coke,Concho,Irion,Menard,Reagan,Runnels,Schleicher,Sterling,
Travis,Bastrop,Blanco,Burnet,Caldwell,Hays,Williamson,,,
Trinity,Angelina,Houston,Polk,San Jacinto,Walker,,,,
Tyler,Angelina,Hardin,Jasper,Polk,,,,,
Upshur,Camp,Gregg,Harrison,Marion,Morris,Smith,Wood,,
Upton,Crane,Crockett,Ector,Glasscock,Midland,Reagan,,,
Uvalde,Bandera,Edwards,Frio,Kinney,Maverick,Medina,Real,Zavala,
Victoria,Calhoun,DeWitt,Goliad,Jackson,Lavaca,Refugio,,,
Walker,Grimes,Houston,Madison,Montgomery,San Jacinto,Trinity,,,
Waller,Austin,Fort Bend,Grimes,Harris,Montgomery,Washington,,,
Ward,Crane,Ector,Loving,Pecos,Reeves,Winkler,,,
Washington,Austin,Brazos,Burleson,Fayette,Grimes,Lee,Waller,,
Webb,Dimmit,Duval,Jim Hogg,La Salle,McMullen,Maverick,Zapata,,
Wharton,Austin,Brazoria,Colorado,Fort Bend,Jackson,Matagorda,,,
Wheeler,Beckham,RogerMills,Collingsworth,Donley,Gray,Hemphill,Roberts,,
Wichita,Cotton,Tillman,Archer,Baylor,Clay,Wilbarger,,,
Wilbarger,Jackson,Tillman,Archer,Baylor,Foard,Hardeman,Wichita,,
Willacy,Cameron,Hidalgo,Kenedy,,,,,,
Williamson,Bastrop,Bell,Burnet,Lee,Milam,Travis,,,
Wilson,Atascosa,Bexar,Gonzales,Guadalupe,Karnes,,,,
Winkler,Lea,Andrews,Ector,Loving,Ward,,,,
Wise,Cooke,Denton,Jack,Montague,Parker,Tarrant,,,
Wood,Camp,Franklin,Hopkins,Rains,Smith,Upshur,VanZandt,,
Yoakum,Lea,Cochran,Gaines,Hockley,Terry,,,,
Young,Archer,Baylor,Jack,Palo Pinto,Stephens,Throckmorton,,,
Zapata,Jim Hogg,Starr,Webb,,,,,,
Zavala,Dimmit,Frio,Kinney,Maverick,Medina,Uvalde,,,
