County,Rank
Anderson,0.02153444908375
Andrews,0.0607695402674603
Angelina,0.036658864319568454
Aransas,0.09021693121875
Archer,0.035881433407525504
Atascosa,0.13853334330967262
Austin,0.17115506646765874
Bailey,0.017428362744940473
Bandera,0.1767423160907738
Bastrop,0.2394593283416667
Baylor,0.027653507674107142
Bee,0.015137991275714288
Bell,0.19650282732210883
Bexar,0.5456345126502976
Blanco,0.21881166995663265
Bosque,0.07420455201284014
Bowie,0.026954067154613095
Brazoria,0.7134388889245239
Brazos,0.21227066054940474
Brewster,7.251700892857143e-05
Brooks,0.04639926065688775
Brown,0.015151512823469387
Burleson,0.10779986314880952
Burnet,0.20082407741360547
Caldwell,0.21591459137003965
Calhoun,0.0475241052625
Callahan,0.017040633993055554
Cameron,0.22872395805833332
Camp,0.024568529786904762
Carson,0.015450472270163692
Cass,0.021984382035952384
Castro,0.036283915592658735
Chambers,0.7056765244041667
Cherokee,0.05781289472818878
Childress,0.00011866792500000001
Clay,0.06437858319801587
Cochran,0.02004876756692177
Coleman,0.015932805609126983
Collin,0.9311527875114088
Collingsworth,0.0
Colorado,0.03605019366666667
Comal,0.4220698697652381
Comanche,0.010562894944761906
Concho,0.007516936436507936
Cooke,0.22882404444285717
Coryell,0.07397436845119047
Crane,0.017539969359920637
Crockett,0.0047564338978835965
Crosby,0.05082425872433036
Dallam,0.0026757252458333336
Dallas,1.771120832546131
Dawson,0.0362379172063492
Deaf Smith,0.023785135540306125
Delta,0.03162240324965278
Denton,1.055091336077381
DeWitt,0.017323581866190478
Dimmit,0.07883579721666667
Donley,0.0009655236785714286
Duval,0.03312901893741496
Eastland,0.014163213672789117
Ector,0.06114535256666667
Edwards,0.006420141430867347
El Paso,0.7742506780468962
Ellis,0.08071129775000001
Erath,0.02712559192763606
Falls,0.08137865439761904
Fannin,0.16976673113849208
Fayette,0.054924954122023806
Fisher,0.009400798938775509
Floyd,0.051955122442176864
Fort Bend,0.680432707224524
Franklin,0.019781740852430556
Freestone,0.027909294996607145
Frio,0.03861439804965278
Gaines,0.033786525121230156
Galveston,1.0592588109089287
Garza,0.049306914522959176
Gillespie,0.03880948418988095
Goliad,0.015961982787142857
Gonzales,0.06178188893010204
Gray,0.0009655236785714286
Grayson,0.2744052222202381
Gregg,0.1608605510550595
Grimes,0.18663997311210317
Guadalupe,0.3126615305990079
Hale,0.07264455865688776
Hall,0.0
Hamilton,0.018274628214285712
Hansford,0.0022553308770833333
Hardeman,0.004864438407738095
Hardin,0.15127185880466268
Harris,1.1509966194164116
Harrison,0.057062145049702376
Hartley,0.0022553308770833333
Haskell,0.0023159937238520405
Hays,0.3387344348271428
Henderson,0.138156010078125
Hidalgo,0.15721581062797618
Hill,0.17414116135059524
Hockley,0.07009716161436012
Hood,0.1278180874970238
Hopkins,0.0348492861
Houston,0.0290609603005102
Howard,0.020397470706349202
Hunt,0.22230706361927083
Hutchinson,0.004027458395833333
Jack,0.05032134769642856
Jackson,0.03747428146805555
Jasper,0.05082399113273809
Jefferson,0.2164700809279762
Jim Hogg,0.048818040518452385
Jim Wells,0.05680214443849206
Johnson,0.4219307557373299
Jones,0.010459062248299317
Karnes,0.034878485523596944
Kaufman,0.6098314049923116
Kendall,0.24330489108214287
Kerr,0.032960337578373015
Kimble,0.0033710854931972784
Kinney,0.0495702193875
Kleberg,0.06580436257142858
